query	df
query	df
query	df
q=plane+crash+us+canada+border+bury	25,900
q=airplane+crash+canada+usa+60	6,230,000
q=plane+crash+us+canada+border+bury+airplane+crash+canada+usa+60	11,400
q=3	3,440,000,000
q=7	2,590,000,000
q=3+7	2,590,000,000
q=%5B%27%22theres%22+no+such+thing+as+a+free+lunch%27%5D	76,900
q=3+%5B%27%22theres%22+no+such+thing+as+a+free+lunch%27%5D	76,400
q=%5B%27plane+crash+us+canada+border+bury%27%5D	26,100
q=%5B%27plane+crash+us+canada+border+bury%27%5D+7	25,600
q=%5B%27plane+crash+us+canada+border+bury%27%5D+%5B%27%22theres%22+no+such+thing+as+a+free+lunch%27%5D	29
q=1	3,950,000,000
q=3+1	3,430,000,000
q=%5B%27great+britain+4th+of+july%27%5D	1,030,000
q=3+%5B%27great+britain+4th+of+july%27%5D	2,800,000
q=%5B%27plane+crash+us+canada+border+bury%27%5D+1	25,500
q=%5B%27plane+crash+us+canada+border+bury%27%5D+%5B%27great+britain+4th+of+july%27%5D	5,490
q=%5B%27great+britain+july4th%27%2C+%27great+britain+july+4th%27%5D	2,450,000
q=3+%5B%27great+britain+july4th%27%2C+%27great+britain+july+4th%27%5D	2,290,000
q=4	3,170,000,000
q=4+7	2,580,000,000
q=%5B%27%22Theres%22+no+such+thing+as+a+free+lunch%27%5D	77,000
q=4+%5B%27%22Theres%22+no+such+thing+as+a+free+lunch%27%5D	74,900
q=%5B%27how+many+months+decade%27%5D	21,600,000
q=%5B%27how+many+months+decade%27%5D+7	22,200,000
q=%5B%27how+many+months+decade%27%5D+%5B%27%22Theres%22+no+such+thing+as+a+free+lunch%27%5D	12,700
q=4+1	3,170,000,000
q=%5B%274th+july+great+britain%27%2C+%274th+july%27%5D	50,200,000
q=4+%5B%274th+july+great+britain%27%2C+%274th+july%27%5D	60,800,000
q=%5B%27how+many+months+decade%27%5D+1	22,200,000
q=%5B%27how+many+months+decade%27%5D+%5B%274th+july+great+britain%27%2C+%274th+july%27%5D	1,780,000
q=4+4	3,170,000,000
q=%5B%27decade+in+years%27%5D	22,400,000
q=4+%5B%27decade+in+years%27%5D	22,400,000
q=%5B%27how+many+months+decade%27%5D+4	22,300,000
q=%5B%27how+many+months+decade%27%5D+%5B%27decade+in+years%27%5D	46,200,000
q=%5B%27decade%27%5D	22,400,000
q=4+%5B%27decade%27%5D	22,400,000
q=%5B%27how+many+months+decade%27%5D+%5B%27decade%27%5D	19,500,000
q=8	2,520,000,000
q=4+8	2,520,000,000
q=%5B%27High+transaction+costs+will+tend+to%27%5D	542,000
q=4+%5B%27High+transaction+costs+will+tend+to%27%5D	1,740,000
q=%5B%27how+many+months+decade%27%5D+8	22,200,000
q=%5B%27how+many+months+decade%27%5D+%5B%27High+transaction+costs+will+tend+to%27%5D	1,170,000
q=6	2,680,000,000
q=4+6	2,680,000,000
